N,P,K,Temp,Hum,pH,Rain,Crop
1.8951584335933052,1.5956652827471212,1.9314449536299287,23.889342490282633,62.67299733642292,7.139865457631814,1586.4160639927738,Rice
1.3321464497958142,1.5884937021054066,1.0320636874572346,28.45049654739946,73.66379364760009,7.075336757450924,1821.3363695042508,Rice
1.774802913825397,1.1309585607971413,1.7387296367753344,22.95600496588223,71.31494221201012,7.178135385766107,1652.1069917433726,Rice
1.1159924476369678,1.3434317595934049,1.6389016135382786,37.77066375716835,78.69976400507667,5.249109300093965,1634.392870509143,Rice
1.654620382702392,1.1797338788866374,1.0237487525075109,23.32224659775267,78.58000305435245,5.518659455336082,1540.5358451345905,Rice
1.0089083485529091,1.9360308487375177,1.3786775997173337,37.31927478657622,72.23168728105946,5.64350635554023,1822.5396408783479,Rice
1.992710654403483,1.3828326337610377,1.274818241495825,21.665500754079734,70.59272676862835,6.631903223291939,1519.8279957045283,Rice
1.0574465790491212,1.5383003562572908,1.2106751866422705,34.89058239928158,68.60684779624131,7.611587111810289,1590.8385748005742,Rice
1.7439055114949351,1.001410700210986,1.0545217798567232,29.998391295910487,68.97095394089962,5.619451767407412,1717.8471545620846,Rice
1.1920950616727515,1.535431782690159,1.3052611103679048,33.34860476591717,78.36580486208697,7.514661469997867,1628.9171419326078,Rice
1.5058996707463306,1.4107890382282102,1.5902561393939858,36.80050386631887,78.22744531052717,5.5257732074662576,1668.8337415481294,Rice
1.6860141594682174,1.3769334262055155,1.9151879582707902,24.30782913824944,63.642671996451874,6.2150234985360395,1822.0449890518712,Rice
1.1187438993388326,1.8607151579498349,1.5859847286966424,28.626850744279526,76.3437416765706,7.252719555796684,1543.0242783522851,Rice
1.3984844557352338,1.8987903890018547,1.5103997163727694,34.17142646280102,73.21575251997481,6.786068261903944,1776.817226286792,Rice
1.6785244265442842,1.3125963502152618,1.781366123854877,28.212466768330223,64.64931943024284,5.491622414670306,1885.9903469791793,Rice
1.9461489577771958,1.176900290254376,1.6610221057146213,21.397477357177316,64.47631979802135,6.182688641701781,1598.9262733027979,Rice
1.1329157226059143,1.5995240030687816,1.6670718712671488,35.21870955783355,68.93084853544794,6.753045921313282,1581.9632583916673,Rice
1.9060335264177544,1.8479322151958706,1.1909701862311204,26.75174539981117,67.23265226619185,7.0518341932073065,1923.4503609645055,Rice
1.239147229819824,1.9040270134934896,1.5327845393244268,24.810521948308335,69.77254421549775,5.543872006724004,1723.0912632629204,Rice
1.9352365022231406,1.9579367888210006,1.3640577449816365,24.339620485690414,76.39401390239574,5.286987376897862,1682.1720850672912,Rice
1.7985356820175693,1.083213911860995,1.7479115108380792,25.012163630747033,67.66164680848247,5.826629527805643,1526.9760739399856,Rice
1.7469654698611738,1.6836220076001602,1.2836581741936204,21.120440947613904,68.47229816882202,5.507903168408099,1528.4285728412938,Rice
1.1011931565608735,1.870215239771118,1.80432619657494,31.617039913307487,62.979866918839036,5.884179505980685,1742.6190451035393,Rice
1.122480171527068,1.6493985007461602,1.4265022871092121,23.007036075006898,64.26908624167282,6.732614227205094,1754.5020853686613,Rice
1.8676692914182276,1.3347298898206184,1.6654233819776465,23.06646482153501,70.12415586939564,5.7138799927931005,1547.451922511318,Rice
